,CommonElement,RowNumberInA,IndexNumberInRow,RowNumberInB,IndexNumberInRow
0,tr|Q7ZUR2|Q7ZUR2_DANRE,3997,1,430,0
1,tr|A0A2R8RIK5|A0A2R8RIK5_DANRE,1848,0,732,1
2,tr|A0A2R8QE41|A0A2R8QE41_DANRE,809,0,141,1
3,tr|A0A0J9YJ57|A0A0J9YJ57_DANRE,902,4,163,3
4,tr|F8W3Z7|F8W3Z7_DANRE,1799,3,369,1
5,tr|F6NN58|F6NN58_DANRE,1384,3,24,2
6,tr|A0A2R8QUE9|A0A2R8QUE9_DANRE,1467,24,166,38
7,sp|Q1MTE5|ARL3_DANRE,211,3,46,1
8,tr|A0A0J9YJC0|A0A0J9YJC0_DANRE,906,5,165,1
9,tr|A0A2R8QBP6|A0A2R8QBP6_DANRE,1467,25,166,39
10,sp|A5WVX1|EFNMT_DANRE,66,0,9,1
11,tr|A0A2R8RZD6|A0A2R8RZD6_DANRE,1422,2,286,0
12,tr|F1R617|F1R617_DANRE,2283,1,665,0
13,sp|Q6NUW9|FGGY_DANRE,470,0,84,1
14,tr|A0A2R8QIE6|A0A2R8QIE6_DANRE,3352,1,357,0
15,tr|F8W5C3|F8W5C3_DANRE,1474,1,295,2
16,tr|Q66HX9|Q66HX9_DANRE,814,5,142,3
17,tr|A0A0R4ILH1|A0A0R4ILH1_DANRE,1144,1,221,0
18,tr|A0A2R8Q3Q4|A0A2R8Q3Q4_DANRE,1546,1,235,6
19,tr|A0A0R4IUL0|A0A0R4IUL0_DANRE,1264,0,197,1
20,tr|A0A2R8QU31|A0A2R8QU31_DANRE,3047,2,366,2
21,tr|A0A0R4INK4|A0A0R4INK4_DANRE,380,1,70,2
22,tr|F8W2N9|F8W2N9_DANRE,3469,0,491,1
23,tr|A0A2R8RVB0|A0A2R8RVB0_DANRE,444,1,81,0
24,tr|E9QIB1|E9QIB1_DANRE,1939,1,393,2
25,tr|Q5TZA5|Q5TZA5_DANRE,3732,1,744,0
26,tr|A0A0R4IN87|A0A0R4IN87_DANRE,1164,3,230,1
27,tr|B8JIW0|B8JIW0_DANRE,1467,29,166,44
28,tr|A0A2R8QMQ9|A0A2R8QMQ9_DANRE,1187,1,237,2
29,tr|A0A286YB73|A0A286YB73_DANRE,4308,2,797,2
30,tr|Q1L887|Q1L887_DANRE,3538,0,701,1
31,tr|E9QEB6|E9QEB6_DANRE,2647,0,765,3
32,tr|A2CEP5|A2CEP5_DANRE,1187,6,237,8
33,tr|Q1LWQ2|Q1LWQ2_DANRE,1799,0,369,2
34,tr|A0A2R8PYV5|A0A2R8PYV5_DANRE,4228,3,299,2
35,tr|A0A2R8QI69|A0A2R8QI69_DANRE,3005,1,356,0
36,tr|E7F8A0|E7F8A0_DANRE,2517,0,298,7
37,tr|F1QM44|F1QM44_DANRE,3002,0,27,1
38,tr|E7F8A3|E7F8A3_DANRE,1304,0,267,1
39,tr|A0A286Y9T4|A0A286Y9T4_DANRE,1405,1,794,2
40,tr|A0A0R4IAU6|A0A0R4IAU6_DANRE,944,0,175,3
41,tr|A0A0R4IAQ1|A0A0R4IAQ1_DANRE,443,0,80,1
42,tr|R4GEH4|R4GEH4_DANRE,3818,4,563,4
43,tr|A0A2R8QCM1|A0A2R8QCM1_DANRE,1580,5,235,5
44,tr|A0A2R8QNS9|A0A2R8QNS9_DANRE,398,0,73,2
45,tr|Q6IQ66|Q6IQ66_DANRE,1004,3,186,2
46,tr|A0A2R8Q6F6|A0A2R8Q6F6_DANRE,1584,3,321,2
47,tr|Q6P007|Q6P007_DANRE,1695,2,340,0
48,tr|E9QIC6|E9QIC6_DANRE,513,0,91,3
49,tr|B8JI27|B8JI27_DANRE,1943,1,475,0
50,tr|F1RCK9|F1RCK9_DANRE,1297,1,264,0
51,tr|E9QC00|E9QC00_DANRE,2657,3,550,0
52,tr|F1QB75|F1QB75_DANRE,2823,0,794,1
53,tr|B3DKC6|B3DKC6_DANRE,2277,1,460,0
54,tr|E9QIP1|E9QIP1_DANRE,1717,3,345,0
55,sp|Q90YM8|CYFP1_DANRE,794,1,137,0
56,tr|A2AR64|A2AR64_DANRE,1945,0,394,1
57,tr|E7EZ94|E7EZ94_DANRE,2422,0,495,1
58,tr|X1WG91|X1WG91_DANRE,4309,0,363,3
59,tr|E9QEE8|E9QEE8_DANRE,3988,1,560,0
60,tr|F1QJK4|F1QJK4_DANRE,1736,0,598,1
61,tr|A0A2R8QKY9|A0A2R8QKY9_DANRE,1618,3,362,1
62,tr|G1K2S6|G1K2S6_DANRE,35,1,705,0
63,tr|A0A0R4IJ00|A0A0R4IJ00_DANRE,677,5,115,2
64,tr|B3DGV3|B3DGV3_DANRE,150,3,337,0
65,tr|Q32LR4|Q32LR4_DANRE,3602,1,723,0
66,tr|A0A2R8QIC4|A0A2R8QIC4_DANRE,1326,2,274,0
67,tr|B3DKC0|B3DKC0_DANRE,2276,0,459,1
68,tr|E7F6R0|E7F6R0_DANRE,2499,1,520,0
69,tr|A0A2R8Q8N9|A0A2R8Q8N9_DANRE,2031,2,326,0
70,tr|X1WHC2|X1WHC2_DANRE,3224,1,657,0
71,tr|I3ITH2|I3ITH2_DANRE,2326,3,469,2
72,tr|A0A2R8QLZ7|A0A2R8QLZ7_DANRE,1467,31,166,51
73,tr|X1WGS4|X1WGS4_DANRE,2595,2,545,0
74,tr|A0A2R8QFX6|A0A2R8QFX6_DANRE,1467,10,166,18
75,sp|Q68EH8|FAD1_DANRE,380,0,70,1
76,tr|Q08BE3|Q08BE3_DANRE,1088,2,206,1
77,tr|A0A2R8Q3U1|A0A2R8Q3U1_DANRE,1547,1,311,0
78,sp|Q6DRI4|RPAC2_DANRE,444,0,81,2
79,tr|A0A0R4IDG3|A0A0R4IDG3_DANRE,1004,2,186,1
80,tr|F1Q636|F1Q636_DANRE,2721,1,576,0
81,tr|Q803W0|Q803W0_DANRE,1951,2,693,0
82,tr|Z4YI11|Z4YI11_DANRE,481,1,88,0
83,tr|Q1LVL3|Q1LVL3_DANRE,1866,3,285,3
